pdf,native_tables,native_time_s,native_peak_rss_kb,camelot_tables,camelot_time_s,speedup,shape_overlap_pct,text_overlap_pct,stage_page_count,stage_render_page,stage_extract_text,stage_adaptive_threshold,stage_morphological_open_h,stage_morphological_open_v
column_span_2.pdf,1,0.3673,111416,1,0.5441,1.48,0.0,6.5,0.0016,0.0001,0.0,0.0163,0.0185,0.0271
foo.pdf,1,0.1764,291940,1,0.5311,3.01,100.0,45.8,0.0016,0.0001,0.0,0.0174,0.0194,0.0279
health.pdf,1,0.383,320164,1,0.7339,1.92,0.0,0.0,0.0016,0.0001,0.0,0.0162,0.0189,0.0275
multiple_tables.pdf,1,0.1802,327292,1,0.4105,2.28,0.0,82.4,0.0037,0.0001,0.0,0.0183,0.0197,0.029
row_span_1.pdf,1,0.3761,327304,1,0.4874,1.3,0.0,20.8,0.0017,0.0001,0.0,0.0171,0.0218,0.0192
row_span_2.pdf,1,0.1903,327308,1,0.7137,3.75,100.0,38.7,0.0015,0.0001,0.0,0.0224,0.0254,0.0228
superscript.pdf,4,0.4817,330152,0,0.8414,1.75,0.0,0.0,0.0016,0.0001,0.0,0.0212,0.0273,0.0313
twotables_1.pdf,2,0.4598,341932,2,0.6106,1.33,0.0,33.3,0.0015,0.0001,0.0,0.0194,0.0253,0.0222
twotables_2.pdf,1,0.1796,351208,2,0.6133,3.41,0.0,97.9,0.0015,0.0001,0.0,0.0167,0.0187,0.0273
